,_id
128344,53e99ffdb7602d97028e2212
35317,53e998fcb7602d9702139036
45367,557edb0d6fee0fe990caceb9
116073,53e9ab3db7602d97034cb5c4
143840,5843773eac44360f1083413a
43805,558c47cae4b00c3c48e15871
148839,53e9b055b7602d9703ab9a44
90137,55a494cc65ceb7cb02d2adb2
119050,53e99a4eb7602d97022ae1ef
32714,53e99e85b7602d970274aa0f
54774,53e9bbf0b7602d97048475f2
45904,53e9aad1b7602d970344e352
145152,53e9b650b7602d97041b02c9
98946,53e9983db7602d9702065714
35545,53e9b458b7602d9703f57eae
145663,599c7a4c601a182cd26a643e
96829,557e3b18f6678c77ea2214f5
44299,55465f010cf2939c2feed527
47982,5736985a6e3b12023e720212
129211,58d82fe4d649053542fda364
80785,5cc1b5d96558b90bfabfbd46
114754,5a73cbb817c44a0b3035dad7
144408,53e9bc4eb7602d97048c6892
98593,5ac1829d17c44a1fda91833a
125214,557d1da16feeaa8086da6bac
145983,53e9a5a1b7602d9702ec8c96
11988,53e9bc54b7602d97048cf7ec
52591,53e9a108b7602d97029f5b51
61409,573696716e3b12023e57d4d2
24271,53e9b80fb7602d97043c08dc
53969,53e9ad92b7602d970378b07c
65015,53e999a6b7602d97021eaea2
505,53e9b267b7602d9703d08368
6698,53e9b790b7602d9704337023
85319,53e9aed1b7602d97038fab80
57675,53e99cd8b7602d970258f054
80806,53e99f35b7602d9702803872
68757,555047d845ce0a409eb69ce0
53460,53e99e78b7602d970273a8b7
16259,53e9a178b7602d9702a6a75b
7387,53e9b47db7602d9703f8204e
36929,53e99ad7b7602d9702359b1f
118483,53e9b521b7602d9704056054
41354,557d249f6feeaa8086da724f
97110,573696096e3b12023e51cb24
127725,558a3c1ae4b037c08755ef66
142929,53e9b6b9b7602d970424114b
71634,53e9b304b7602d9703dc9ee0
128117,53e9ba0bb7602d970460e63d
118854,53e9a23fb7602d9702b45cb2
90257,5c77bcab4895d9cbc64aa82d
19358,5488edeb45ce471f90939202
17583,53e9b44ab7602d9703f42939
135674,53e998cdb7602d9702107036
30658,53e9a99cb7602d97032f9c21
143790,53e9a401b7602d9702d1c3c8
83092,53e9ac3db7602d9703608e6b
63864,53e9985fb7602d9702098af0
22761,53e9a5e9b7602d9702f1167f
118449,53e99e1ab7602d97026e05bc
38095,53e9bb30b7602d9704770111
65303,53e9a026b7602d970290b0a3
19804,53e9bc2db7602d970489cdef
98747,558aed76e4b0b32fcb39b69b
141639,53e9b408b7602d9703efa842
19459,53e9a5b6b7602d9702edf5aa
29535,53e997ccb7602d9701fbef09
82798,53e9adc2b7602d97037c8539
117933,53e9b0f4b7602d9703b6fffb
123378,53e9ad76b7602d970376641b
75311,53e9a9beb7602d970331fd77
40080,53e9af68b7602d97039ad991
83660,53e9a8f9b7602d970324ac5e
91572,558bb2d8e4b0cfb70a195260
58895,53e9b16db7602d9703bf4109
53704,53e9a832b7602d9703179b43
74988,53e9afe8b7602d9703a3b817
96728,53e99d13b7602d97025caa89
145987,53e99b6bb7602d970241372d
82574,53e9b068b7602d9703acec03
62744,53e9b9c6b7602d97045bb6a0
75779,53e99b56b7602d97023fae1a
105949,53e9a570b7602d9702e9782a
10980,53e9b3bcb7602d9703ea6281
19478,53e9a987b7602d97032e114d
98835,5c7559c3f56def97987f9b41
79609,5550409a45ce0a409eb35558
30326,558a3254e4b0b32fcb3562d9
51051,53e9b572b7602d97040adcfe
103668,53e9b055b7602d9703abb70d
70078,53e99f94b7602d970286b7be
121650,5a260c5717c44a4ba8a29b2a
114149,53e9bb8cb7602d97047d1999
19990,557c40e4f66765fbb46abd31
343,557c4b1708b02739a5ca371f
6525,53e9995fb7602d970219e2a7
47809,53e9ab97b7602d9703544329
20505,558a7a9fe4b0b32fcb370f7f
77146,53e9baa0b7602d97046cb8d4
98146,53e9bd9fb7602d9704a4c72a
94914,53e9a1d0b7602d9702accda9
33536,558c212ee4b0cfb70a1bce8a
148035,557e39b1f6678c77ea221448
8846,558a4c04e4b0b32fcb35fb2f
38251,53e9aa2bb7602d97033978c0
82888,53e99d96b7602d970265510c
108868,53e9b109b7602d9703b87886
146596,59ae3bf12bbe271c4c71c3cd
100018,53e9b403b7602d9703ef86eb
139411,56d8e54fdabfae2eee2d63e6
85967,558a95fae4b031bae1f87f27
143650,53e9bdacb7602d9704a59a37
24159,53e99cf5b7602d97025ac745
40814,53e9b6e2b7602d970427679b
85673,53e9b326b7602d9703df408e
15241,558c63ca84ae6766fdf2cdab
3705,53e9a272b7602d9702b78f50
8684,53e9b350b7602d9703e28780
7128,53e9aab6b7602d97034303a8
114561,53e9b802b7602d97043b4f2f
100354,5c20b26cda5629702063bb19
48433,53e99e8cb7602d9702753189
2355,53e9bbb5b7602d97047ffe38
108438,53e9b310b7602d9703dd9d63
100602,558a3cf2e4b037c08755f3e1
89480,53e9a5e9b7602d9702f15e32
23614,53e9b57cb7602d97040b9ba2
146541,53e998fdb7602d970213ca89
54267,53e9b8fcb7602d97044e21ae
114232,53e99de1b7602d97026a1e3e
32177,53e9be0eb7602d9704ac49d4
102462,53e997f4b7602d9701ff6f23
70279,53e9a107b7602d97029f2703
147737,573696716e3b12023e57db5d
42383,53e9acbdb7602d970369dcc2
82626,53e9b240b7602d9703cdaf27
33520,53e9b46fb7602d9703f6ef52
72705,53e9afadb7602d97039fdc99
139369,53e9accbb7602d97036a6293
139151,53e9b9c6b7602d97045bb9f2
26068,53e9a3fbb7602d9702d16486
79828,558a8bcde4b0b32fcb377489
148737,53e9aabdb7602d970343a24d
54901,53e9bcbab7602d97049371d6
121765,53e9b077b7602d9703ae09e3
38674,53e9a2c8b7602d9702bd0299
10284,53e9a981b7602d97032d924a
11745,5c209558df5b8c0b3cfa9a4f
71403,53e9a97bb7602d97032d7363
30233,53e99946b7602d9702182ddc
16114,5c7884034895d9cbc6a8f074
9017,5c77d7394895d9cbc659358d
36473,53e9a3b9b7602d9702cc97c6
103196,53e9b791b7602d970433b250
146957,53e9b998b7602d9704588ac5
133574,53e99b86b7602d970242aace
129194,53e99eb5b7602d970278171c
81536,53e9a23fb7602d9702b47078
75789,53e9a3d4b7602d9702ce61ae
119364,53e9a7e4b7602d9703126be7
131617,53e99aa5b7602d970231d50f
65429,558b07e184ae84d265c1158e
142895,53e9b27bb7602d9703d228b8
115108,53e9bc48b7602d97048c0866
118457,53e99bfeb7602d97024ab769
